0U2	12/30	43.80690	-113.83700	43.79700	-113.82600
0U3	03/21	44.74280	-114.92500	44.74640	-114.91800
0U7	05/23	43.32280	-113.59500	43.32470	-113.58600
0U8	09/27	44.61210	-113.90400	44.60860	-113.88600
0WI1	04/22	45.50390	-92.14580	45.51060	-92.13810
0WI4	08/26	43.82890	-89.35860	43.83000	-89.34640
0XA4	15/33	28.00320	-98.88540	27.99070	-98.87900
0XA5	13/31	28.68860	-98.38690	28.68120	-98.37860
0XS7	13/31	29.19810	-100.28100	29.18560	-100.26900
0Y6	18/36	43.41830	-93.51180	43.40900	-93.51170
10AZ	08/26	33.36640	-112.62400	33.36640	-112.61300
10D	09/27	44.95380	-94.07170	44.95380	-94.05910
11IA	18/36	42.35183	-92.51339	42.34806	-92.51339
11II	18/36	39.34730	-86.03090	39.33610	-86.03020
11LS	07/25	30.97520	-92.57170	30.97690	-92.56630
11LS	09/27	30.97610	-92.57110	30.97600	-92.56700
11S	08/26	48.26690	-124.32000	48.26540	-124.30800
12A	18/36	35.18280	-92.33510	35.17400	-92.33570
12NC	01/19	34.86900	-76.34920	34.87860	-76.34910
12NC	05/23	34.87190	-76.35600	34.87880	-76.34720
12NC	10/28	34.87850	-76.35500	34.87840	-76.34350
12TT	2/20	33.59069	-97.10256	33.59681	-97.09967
12WV	18/36	38.34578	-82.11256	38.34229	-82.11171
12WV	6/24	38.34248	-82.11196	38.34456	-82.10892
13ME	09/27	45.77570	-69.81330	45.77710	-69.80530
13NC	01/19	35.02290	-77.24930	35.03380	-77.24920
13NC	05/23	35.02630	-77.26360	35.03470	-77.25360
13Y	09/27	48.40830	-93.58560	48.40830	-93.57320
14AZ	06/24	31.90640	-111.12900	31.91030	-111.11600
14MS	03/21	32.34340	-89.03550	32.34720	-89.03290
14MS	08/26	32.34440	-89.03970	32.34610	-89.02860
14NC	05/23	34.50310	-77.56170	34.51140	-77.54860
14OI	07/25	40.91760	-82.11800	40.92090	-82.11010
14S	12/30	46.89930	-124.10400	46.89460	-124.09800
14TS	16/34	27.42950	-98.60770	27.41390	-98.60130
14WS	15/33	45.78060	-91.56160	45.77540	-91.55540
15AR	14/32	34.82870	-90.54570	34.82310	-90.54090
15FL	09/27	30.15000	-82.66690	30.15000	-82.65970
15FL	18/36	30.15860	-82.66640	30.14890	-82.66640
15G	03/21	41.02540	-81.80020	41.03140	-81.79680
15MN	05/23	45.26000	-94.51440	45.26440	-94.50690
16A	18/36	60.90920	-162.43900	60.90280	-162.44200
16S	03/21	42.99500	-123.31900	42.99960	-123.31200
16X	17/35	33.08470	-97.35970	33.07670	-97.35810
17FL	09/27	29.29060	-82.13620	29.29060	-82.12480
17FL	18/36	29.29060	-82.12480	29.26990	-82.12480
17TX	17/35	32.45310	-98.25540	32.44440	-98.25460
17XS	01/19	32.16960	-98.43860	32.18590	-98.43150
18AZ	06/24	33.81640	-111.90400	33.81970	-111.89200
18K	03/21	37.38160	-100.18800	37.38700	-100.18400
18TA	16/34	30.14210	-99.74610	30.13050	-99.74120
18TE	08/26	32.58530	-95.07220	32.58510	-95.05570
18Y	16/34	45.77600	-93.63440	45.76840	-93.63080
19AR	09/27	35.15680	-92.22710	35.15660	-92.22140
19AZ	17/35	34.60940	-111.86600	34.60060	-111.86500
19MT	6/24	46.83530	-108.94812	46.84084	-108.92554
1A2	17/35	47.11650	-97.20840	47.10800	-97.20840
1AZ0	09/27	33.10140	-112.27400	33.09890	-112.25900
1C8	18/36	42.29550	-89.13610	42.28850	-89.13610
1C9	05W/23W	36.95090	-121.46700	36.95430	-121.45800
1CA6	15/33	32.76393	-116.72372	32.75875	-116.72182
1CD2	08/26	40.16650	-104.79800	40.16790	-104.78700
1CO5	08/26	38.01580	-103.70900	38.01500	-103.69600
1CO5	18/36	38.01830	-103.69800	38.01170	-103.70000
1D2	18/36	42.35100	-83.45650	42.34470	-83.45610
1D4	09/27	40.99260	-81.43580	40.99250	-81.42740
1D6	12/30	44.73280	-94.71500	44.72900	-94.70760
1G8	16/34	40.47280	-80.62650	40.46700	-80.62370
1H4	17/35	42.42220	-74.00690	42.41720	-74.00690
1H9	01/19	45.83070	-91.80410	45.84040	-91.80130
1I9	18/36	40.54680	-86.68140	40.53890	-86.68140
1K1	17/35	37.78150	-97.11380	37.76880	-97.11270
1K6	17/35	38.37630	-98.59870	38.36930	-98.59860
1LS0	17/35	30.22940	-90.88270	30.21860	-90.88140
1M8	09/27	41.83810	-71.03080	41.84000	-71.02210
1MO3	SE/NW	39.93630	-94.07568	39.92883	-94.07159
1MS8	13/31	32.94610	-88.58670	32.93430	-88.57170
1MY1	09/27	45.98570	-96.20330	45.98490	-96.18560
1N5	08/26	38.41280	-75.62300	38.41560	-75.61590
1N5	17/35	38.41550	-75.61730	38.40770	-75.61260
1O6	14/32	41.26650	-122.27400	41.25960	-122.27000
1OK3	17/35	34.57970	-97.81440	34.56970	-97.81100
1Q1	13/31	36.16480	-119.05200	36.16000	-119.04900
1Q5	01/19	39.44590	-122.95800	39.45550	-122.95100
1S2	10/28	48.25980	-121.61500	48.25740	-121.60500
1S6	01/19	48.18740	-116.91300	48.19400	-116.90600
1S7	11/29	45.67430	-116.30900	45.66930	-116.30200
1T8	16/34	29.74296	-98.45192	29.74296	-98.45192
1TE1	13/31	28.25420	-99.82130	28.24630	-99.81270
1TS9	17/35	33.37267	-96.75464	33.36462	-96.75475
1U0	06/24	42.97430	-113.35500	42.97640	-113.34700
1U1	01/19	46.12160	-114.92600	46.13110	-114.91700
1U3	12/30	43.21840	-116.55200	43.21350	-116.54500
1U4	14/32	44.98100	-116.28600	44.97500	-116.28200
1U6	16/34	42.23910	-113.87800	42.22870	-113.87800
1VA1	08/26	36.73400	-80.45350	36.73830	-80.43730
1VA8	13/31	36.86440	-78.41350	36.85950	-78.40530
1W1	07/25	45.62790	-122.41000	45.62780	-122.39900
1W3	09/27	39.60570	-78.76420	39.60620	-78.75670
1W3	16/34	39.60700	-78.76310	39.60200	-78.75950
1WA6	E/W	47.55940	-121.87000	47.55970	-121.85800
1WI8	18/36	44.63940	-87.44050	44.63230	-87.43990
1WN3	03/21	45.21000	-92.53760	45.21370	-92.53440
1WN3	12/30	45.21340	-92.53920	45.21030	-92.53280
1XS8	16/34	29.63990	-100.37700	29.62830	-100.37200
1Y5	17/35	43.09210	-92.34480	43.08430	-92.34270
1Y9	17/35	42.99200	-95.66400	42.98430	-95.66400
1Z1	16/34	36.26280	-113.23100	36.25020	-113.23000
20AR	08/26	35.30720	-92.32310	35.30860	-92.31730
20GA	10/28	33.75730	-84.89280	33.75590	-84.87770
20IA	2/20	41.52064	-93.80228	41.53252	-93.80043
21AZ	12/30	34.35610	-109.97500	34.34860	-109.96500
21MU	18/36	36.56900	-93.50910	36.56130	-93.51030
22XS	15/33	31.37810	-97.66920	31.36940	-97.66420
23D	17/35	48.58270	-96.54290	48.57560	-96.54110
23ND	08/26	47.08130	-101.27500	47.08320	-101.25900
23XS	15/33	31.36340	-97.67450	31.35810	-97.67120
24AR	18/36	34.20150	-90.95240	34.19460	-90.95320
24C	06/24	42.95330	-85.35125	42.95594	-85.34183
24C	12/30	42.95600	-85.34880	42.95330	-85.34080
24C	15/33	42.95500	-85.34410	42.95060	-85.34110
24CL	14/32	36.09750	-119.54700	36.08000	-119.53800
24IA	08/26	42.51580	-92.52460	42.51580	-92.51500
24K	17/35	44.97630	-115.72900	44.97220	-115.73000
25IA	15/33	43.39690	-92.96511	43.39330	-92.96230
25NC	18/36	35.63760	-79.71070	35.62910	-79.70930
25TA	09/27	29.83660	-94.97310	29.83660	-94.96170
25TS	17/35	36.10060	-102.41600	36.08250	-102.41600
26AR	10/28	35.21660	-91.81270	35.21440	-91.80300
26N	06/24	39.26070	-74.61130	39.26630	-74.60360
26W	18/36	42.21090	-84.23340	42.20490	-84.23360
27AZ	17/35	33.92470	-113.16700	33.91420	-113.16800
27C	03/21	43.62680	-85.26530	43.63000	-85.26220
27C	09/27	43.62990	-85.26540	43.62990	-85.25770
27IA	09/27	40.75130	-92.03410	40.75130	-92.02760
27MS	15/33	32.76084	-89.41076	32.75563	-89.40668
27W	09/27	47.82050	-120.72500	47.81830	-120.71500
28M	18/36	42.02750	-70.83900	42.02280	-70.83720
28TA	14/32	27.84440	-98.72720	27.82280	-98.70670
29IA	17/35	40.76041	-95.62407	40.75212	-95.62276
29N	10/28	39.52430	-75.05000	39.52370	-75.04270
29TX	15/33	34.09810	-99.36810	34.09100	-99.36320
2B1	05/23	41.68280	-70.40260	41.68710	-70.39880
2B1	09/27	41.68430	-70.40760	41.68630	-70.39890
2B1	17/35	41.68780	-70.40390	41.68340	-70.40100
2B2	10/28	42.79520	-70.84340	42.79550	-70.83550
2C4	09/27	43.81680	-92.34250	43.81670	-92.33120
2C5	09/27	42.25250	-85.85630	42.25250	-85.84430
